QUESTIONNAIRE_ID,ID,GENERATED,GROUND_TRUTH,BLEU_SCORE,BLEU_SCORE_MEAN,BLEU_SCORE_VAR
1433792,0,I am satisfied with my current job role.,I am satisfied with the job-related training my organization offers.,0.4030676984898244,0.1243654840679497,0.01722403820280897
1433792,1,I am confident in my ability to advance in my current organization.,I am satisfied with the investment my organization makes in training and education.,0.1601591750738047,0.08502812251930024,0.003953422326936523
1433792,2,I have a clear understanding of my long-term career goals.,I am satisfied that I have the opportunities to apply my talents and expertise.,0.1223831366538736,0.05257388586335761,0.001266727480586088
1433792,3,I feel supported in my career development by my organization.,I am satisfied with the job-related training my organization offers.,0.0715322008763116,0.048416624736041323,0.0007647809776659725
1433792,4,I am satisfied with my current work-life balance.,I am satisfied with the job-related training my organization offers.,0.4030676984898244,0.1187037249288273,0.018351119021114328
1433792,5,I am confident in my ability to adapt to changing job requirements.,I am satisfied with the investment my organization makes in training and education.,0.1601591750738047,0.08820433316912846,0.003760398145703362
1433792,6,I have a clear understanding of the skills and knowledge required for my next career step.,I am satisfied that I have the opportunities to apply my talents and expertise.,0.1443375672974064,0.053896113192289166,0.0013977598419745772
1433792,7,I am satisfied with my current career progression.,I am satisfied with the job-related training my organization offers.,0.4030676984898244,0.1211646478325327,0.01863246805324796
1433792,8,I am confident in my ability to take calculated risks in my career.,I am satisfied with the investment my organization makes in training and education.,0.1601281538050871,0.08112209261055667,0.0037147697035373514
1433792,9,I am satisfied with my overall career satisfaction.,I am satisfied with the job-related training my organization offers.,0.4030676984898244,0.1211646478325327,0.01863246805324796
5100003,0,What was the most valuable or memorable part of the course session?,The duration of the course was appropriate given the target goals...,0.2752409412815901,0.08141378896507213,0.008001932918097783
5100003,1,How would you rate the overall quality of the course session?,The duration of the course was appropriate given the target goals...,0.2696799449852968,0.0917668443166322,0.010514396102135757
5100003,2,What did you find most challenging or confusing about the course session?,The duration of the course was appropriate given the target goals...,0.1230914909793327,0.05072368894302892,0.001163856923255728
5100003,3,How did the course session relate to your current job or future career goals?,The duration of the course was appropriate given the target goals...,0.1048284836721918,0.051222774906294975,0.0009467260969922124
5100003,4,What suggestions do you have for improving the course session?,The duration of the course was appropriate given the target goals...,0.1348851983542533,0.05901921455464611,0.0015561469891197
5100003,5,How likely are you to recommend the course session to a colleague?,How likely is it that you would recommend this session to a friend or colleague?,0.3320817696982678,0.08308353815530733,0.011643121806360332
5100003,6,How would you rate the instructor's teaching style and effectiveness?,"Overall, how much you were satisfied from the information received?",0.0715322008763116,0.047593172706005174,0.0004313474761631276
5100003,7,Is there anything else you would like to share about the course session?,How likely is it that you would recommend this session to a friend or colleague?,0.1189005305506443,0.0513898653287468,0.002007356349715582
500100023,0,Have you considered moving to a different role or department within the company?,Have you ever explored or applied for an internal job opportunity within the company?,0.3145333391575357,0.1138113090192467,0.009899758095995297
500100023,1,How would you rate the availability of internal job postings?,How would you rate the transparency of the internal job posting and application process?,0.4468800306904262,0.14890925584285528,0.019957601677087974
500100023,2,Have you been approached by HR or a manager about a potential internal job opportunity?,Have you ever explored or applied for an internal job opportunity within the company?,0.2182178902359923,0.0762535794582246,0.005670596663910195
500100023,3,How would you rate the support you've received from HR or a manager in exploring internal job opportunities?,How would you rate the transparency of the internal job posting and application process?,0.3381997707972615,0.1327773543960576,0.013769277039609352
500100023,4,Have you experienced any barriers or challenges in pursuing internal job opportunities?,Have you ever explored or applied for an internal job opportunity within the company?,0.2329864267365566,0.09260707541798974,0.006068930966927271
500100023,5,How would you rate the overall internal mobility experience?,How would you rate the transparency of the internal job posting and application process?,0.3312566919112253,0.12382066193353401,0.010716873703316768
500100023,6,What would you like to see improved or changed to make internal mobility opportunities more appealing to you?,"On a scale of 1 to 5, how satisfied are you with the internal mobility opportunities available within the company? (1 being very dissatisfied, 5 being very satisfied)",0.1037204935296594,0.06955468889788781,0.0009676705317226551
500100023,7,What internal mobility opportunities would you like to see more of?,Which improvements would you suggest?,0.1348399724926484,0.07733789536334723,0.0014082547744936388
500100028,0,How would you rate the overall effectiveness of the kick-off meeting?,"How would you rate the overall effectiveness of the kick-off meeting? (1 being very ineffective, 5 being highly effective)",0.4832250811898254,0.1938343947750703,0.02427858354828177
500100028,1,Were the meeting's objectives and agenda clearly communicated?,Were the objectives and agenda of the kick-off meeting clearly communicated in advance?,0.3034647056285194,0.08998655530292406,0.01110710549580307
500100028,2,How would you rate the level of engagement and participation from the team and stakeholders?,How satisfied are you with the level of participation and engagement during the kick-off meeting?,0.2927700218845599,0.12949046681738893,0.011628528923241635
500100028,3,Were the meeting's outcomes and next steps clearly defined and communicated?,Were the roles and responsibilities of team members clearly defined during the meeting?,0.2513859633744816,0.08713910999987366,0.007833774787442894
500100028,4,What did you find most valuable or useful about the kick-off meeting?,How satisfied are you with the level of participation and engagement during the kick-off meeting?,0.1917274991282621,0.10445270955362021,0.002867431230176635
500100028,5,"What, if anything, did you find least valuable or useful about the kick-off meeting?",How satisfied are you with the level of participation and engagement during the kick-off meeting?,0.1952037987999774,0.1029850568134771,0.003350678209181153
500100028,6,Do you have any suggestions or recommendations for improving the kick-off meeting?,How satisfied are you with the level of participation and engagement during the kick-off meeting?,0.1917274991282621,0.10110739185182109,0.0027649944664699375
500100047,0,Have you participated in any training or development programs in the past 6 months?,How satisfied are you with the quality of training and development programs offered by the company?,0.1436836127712251,0.08200948470014258,0.0013221296140719556
500100047,1,How would you rate the relevance of the training or development programs you have participated in to your current role or future career goals?,Did the training programs you attended align with your career goals and development needs?,0.1592555143176515,0.08372353792763468,0.0029289327807092754
500100047,2,What type of training or development programs would you like to see offered by the company to support your growth and development?,How satisfied are you with the quality of training and development programs offered by the company?,0.2791452631195413,0.10997073873144518,0.009784753132128204
500100047,3,How would you rate the support and resources provided by the company to help you apply the skills and knowledge you have gained through training and development programs?,How satisfied are you with the quality of training and development programs offered by the company?,0.1781741612749495,0.11273229725973714,0.0016407414696328329
500100047,4,Do you feel that the company provides adequate opportunities for you to share your knowledge and expertise with others through training and development programs or other means?,How satisfied are you with the quality of training and development programs offered by the company?,0.1729581738875902,0.10167740234209774,0.0023865165967599695
500100048,0,What type of training or development programs are you most interested in? (Select all that apply),Have you participated in any training or development programs provided by the company?,0.25,0.11468873667960322,0.007120060576035861
500100048,1,How often would you like to receive training or development opportunities?,What types of training and development programs would you like to see offered in the future?,0.2567635238099693,0.09920057097180747,0.008274496271767745
500100048,2,What format would you prefer for training or development programs? (Select all that apply),Have you participated in any training or development programs provided by the company?,0.2096569673443836,0.10547016555332576,0.004410269657686192
500100048,3,"On a scale of 1 to 5, how satisfied are you with the training and development programs currently offered by the company? (1 being very dissatisfied, 5 being very satisfied)",How relevant do you find the topics covered in the training and development programs to your role and career growth?,0.1917853205941536,0.1292168408656008,0.002592600317820906
500100048,4,Do you feel that you have the necessary resources and support to excel in your role?,Do you feel that the training and development programs have helped you acquire new skills or knowledge?,0.297068494220541,0.08707217107705663,0.007348643818968101
500100048,5,What do you think is the most effective way for the company to measure the impact of training and development programs?,How can the company improve the delivery or format of existing training and development programs?,0.2760262237369417,0.15200105133944108,0.009220937520434869
500100048,6,What do you think is the most important aspect of training and development programs for you?,What types of training and development programs would you like to see offered in the future?,0.3651483716701107,0.18774275040417898,0.011654287885292073
500100048,7,Any additional comments or feedback regarding training and development programs?,Any additional comments or suggestions regarding training and development programs?,0.8366600265340756,0.19173987513268925,0.07463339770188797
500100064,0,How would you rate the overall comfort and temperature of the workspace?,"On a scale of 1 to 10, how would you rate the overall workplace environment? (1 being very poor, 5 being excellent)",0.185313298761148,0.08701700864854515,0.0033382108406046006
500100064,1,Do you feel that the workspace is well-organized and easy to navigate?,"Do you feel that the physical work environment (e.g., office layout, facilities) supports your productivity and well-being?",0.2811011492189173,0.10055779885407931,0.010374024709730966
500100064,2,How would you rate the availability and cleanliness of break rooms and other common areas?,"On a scale of 1 to 10, how would you rate the overall workplace environment? (1 being very poor, 5 being excellent)",0.1675966077198031,0.08008750113004506,0.002646904145386568
500100064,3,Do you feel that you have a sense of community and camaraderie with your coworkers?,"Do you feel that the physical work environment (e.g., office layout, facilities) supports your productivity and well-being?",0.2562245117689867,0.09074881502370562,0.008755601328198902
500100064,4,What specific changes would you like to see in the workplace environment to improve your overall job satisfaction?,How can the company enhance the work environment to better meet your needs and expectations?,0.1143323900950059,0.09355711986531168,0.0004993798833128793
